Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
Hyundai,Accent,2014,regular unleaded,138,4,AUTOMATIC,front wheel drive,4,Sub-Compact,Compact,Sedan,37,27,1439,15645
Honda,Fit,2015,regular unleaded,130,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,37,29,2202,15650
Ford,Fiesta,2017,regular unleaded,120,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,27,5657,15660
Scion,iQ,2014,regular unleaded,94,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,37,36,105,15665
Scion,iQ,2015,regular unleaded,94,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,37,36,105,15665
Chevrolet,Cobalt,2010,regular unleaded,155,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,37,25,1385,15670
Chevrolet,Cobalt,2010,regular unleaded,155,4,MANUAL,front wheel drive,2,Compact,Compact,Coupe,37,25,1385,15670
Ford,Fiesta,2015,regular unleaded,120,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,36,28,5657,15685
Scion,iA,2016,regular unleaded,106,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,41,31,105,15700
Nissan,Versa,2017,regular unleaded,109,4,AUTOMATIC,front wheel drive,4,Sub-Compact,Compact,Sedan,39,31,2009,15720
Hyundai,Accent,2015,regular unleaded,137,4,AUTOMATIC,front wheel drive,4,Sub-Compact,Compact,Sedan,37,26,1439,15745
Hyundai,Accent,2016,regular unleaded,137,4,AUTOMATIC,front wheel drive,4,Sub-Compact,Compact,Sedan,37,26,1439,15745
Scion,xD,2013,regular unleaded,128,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,33,27,105,15745
Chevrolet,Spark,2016,regular unleaded,98,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,41,31,1385,15785
Ford,Fiesta,2016,regular unleaded,120,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,35,27,5657,15810
Suzuki,SX4,2013,regular unleaded,150,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,33,23,481,15845
Chevrolet,Sonic,2015,regular unleaded,138,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,35,26,1385,15855
Honda,Fit,2016,regular unleaded,130,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,37,29,2202,15890
Kia,Forte,2015,regular unleaded,145,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,37,25,1720,15890
Kia,Soul,2016,regular unleaded,130,4,MANUAL,front wheel drive,4,Hatchback,Compact,Wagon,30,24,1720,15900
Scion,xD,2014,regular unleaded,128,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,33,27,105,15920
Chevrolet,Spark,2017,regular unleaded,98,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,38,30,1385,15925
Toyota,Yaris,2015,regular unleaded,106,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,36,30,2031,15945
Toyota,Yaris iA,2017,regular unleaded,106,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,39,30,2031,15950
FIAT,500,2017,premium unleaded,101,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,27,819,15990
Honda,Fit,2017,regular unleaded,130,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,36,29,2202,15990
Kia,Forte,2016,regular unleaded,145,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,37,25,1720,15990
Hyundai,Elantra Touring,2010,regular unleaded,138,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,31,23,1439,15995
Hyundai,Elantra Touring,2011,regular unleaded,138,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,31,23,1439,15995
Hyundai,Elantra Touring,2012,regular unleaded,138,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,31,23,1439,15995
Mitsubishi,Mirage,2017,regular unleaded,78,3,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,43,37,436,15995
Toyota,Yaris,2016,regular unleaded,106,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,36,30,2031,15995
Toyota,Yaris,2017,regular unleaded,106,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,35,30,2031,16000
Mazda,2,2012,regular unleaded,100,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,29,586,16020
Ford,Fiesta,2015,regular unleaded,120,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,36,28,5657,16085
Hyundai,Accent,2014,regular unleaded,138,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,37,27,1439,16095
Chevrolet,Sonic,2015,regular unleaded,138,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,25,1385,16095
Pontiac,Vibe,2010,regular unleaded,132,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,32,26,210,16100
Ford,Fiesta,2016,regular unleaded,120,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,27,5657,16110
Chevrolet,Cruze Limited,2016,regular unleaded,138,4,MANUAL,front wheel drive,4,Midsize,Midsize,Sedan,36,25,1385,16120
Scion,xD,2012,regular unleaded,128,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,33,27,105,16145
Chevrolet,Sonic,2016,regular unleaded,138,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,35,26,1385,16155
Chevrolet,Cruze,2015,regular unleaded,138,4,MANUAL,front wheel drive,4,Midsize,Midsize,Sedan,36,25,1385,16170
Chevrolet,Spark,2016,regular unleaded,98,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,41,30,1385,16185
Hyundai,Accent,2015,regular unleaded,137,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,37,26,1439,16195
Hyundai,Accent,2016,regular unleaded,137,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,37,26,1439,16195
Chevrolet,Sonic,2016,regular unleaded,138,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,24,1385,16195
Mazda,2,2013,regular unleaded,100,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,29,586,16210
Mazda,2,2014,regular unleaded,100,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,29,586,16210
Volkswagen,Jetta,2015,regular unleaded,115,4,MANUAL,front wheel drive,4,Midsize,Midsize,Sedan,34,25,873,16215
Scion,xD,2012,regular unleaded,128,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,33,27,105,16250
Chevrolet,Spark,2017,regular unleaded,98,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,38,29,1385,16325
Nissan,Versa Note,2015,regular unleaded,109,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,40,31,2009,16330
Toyota,Yaris,2017,regular unleaded,106,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,30,2031,16375
Nissan,Versa Note,2016,regular unleaded,109,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,40,31,2009,16380
Nissan,Versa Note,2017,regular unleaded,109,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,39,31,2009,16380
Hyundai,Accent,2014,regular unleaded,138,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,38,27,1439,16395
Chevrolet,Sonic,2017,regular unleaded,138,4,AUTOMATIC,front wheel drive,4,Sub-Compact,Compact,Sedan,34,24,1385,16395
Honda,Fit,2015,regular unleaded,130,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,41,33,2202,16450
Chevrolet,Sonic,2015,regular unleaded,138,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,26,1385,16455
Chevrolet,Cobalt,2010,regular unleaded,155,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,37,25,1385,16470
Chevrolet,Cobalt,2010,regular unleaded,155,4,MANUAL,front wheel drive,2,Compact,Compact,Coupe,37,25,1385,16470
Suzuki,SX4,2011,regular unleaded,150,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,32,23,481,16479
Kia,Forte,2017,regular unleaded,147,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,34,25,1720,16490
Hyundai,Accent,2015,regular unleaded,137,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,38,27,1439,16495
Hyundai,Accent,2016,regular unleaded,137,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,38,27,1439,16495
Dodge,Dart,2014,regular unleaded,160,4,MANUAL,front wheel drive,4,Midsize,Midsize,Sedan,36,25,1851,16495
Dodge,Dart,2015,regular unleaded,160,4,MANUAL,front wheel drive,4,Midsize,Midsize,Sedan,36,25,1851,16495
Mitsubishi,Mirage,2017,regular unleaded,78,3,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,43,37,436,16495
Toyota,Yaris,2015,regular unleaded,106,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,36,30,2031,16505
Nissan,Sentra,2015,regular unleaded,130,4,MANUAL,front wheel drive,4,Midsize,Midsize,Sedan,36,27,2009,16530
Chevrolet,Spark,2015,regular unleaded,84,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,39,30,1385,16535
Scion,xD,2013,regular unleaded,128,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,33,27,105,16545
Toyota,Yaris,2016,regular unleaded,106,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,36,30,2031,16555
Nissan,Cube,2012,regular unleaded,122,4,MANUAL,front wheel drive,4,Hatchback,Compact,Wagon,30,25,2009,16580
Suzuki,SX4,2011,regular unleaded,150,4,MANUAL,front wheel drive,4,Crossover,Compact,4dr Hatchback,30,22,481,16599
Chevrolet,Cruze,2016,regular unleaded,153,4,MANUAL,front wheel drive,4,Midsize,Midsize,Sedan,41,29,1385,16620
Honda,Fit,2016,regular unleaded,130,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,41,33,2202,16690
Scion,xD,2014,regular unleaded,128,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,33,27,105,16720
Chevrolet,Sonic,2016,regular unleaded,138,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,26,1385,16755
Nissan,Cube,2013,regular unleaded,122,4,MANUAL,front wheel drive,4,Hatchback,Compact,Wagon,30,25,2009,16760
Ford,Focus,2017,flex-fuel,160,4,MANUAL,front wheel drive,4,Flex Fuel,Compact,Sedan,36,26,5657,16775
Nissan,Sentra,2016,regular unleaded,130,4,MANUAL,front wheel drive,4,Midsize,Midsize,Sedan,36,27,2009,16780
Honda,Fit,2017,regular unleaded,130,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,40,33,2202,16790
Suzuki,SX4,2012,regular unleaded,150,4,MANUAL,front wheel drive,4,Crossover,Compact,4dr Hatchback,30,22,481,16799
Scion,iA,2016,regular unleaded,106,4,AUTOMATIC,front wheel drive,4,Sub-Compact,Compact,Sedan,42,33,105,16800
Toyota,Yaris,2015,regular unleaded,106,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,37,30,2031,16820
FIAT,500,2015,premium unleaded,101,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,40,31,819,16845
Mazda,2,2012,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,34,28,586,16860
Toyota,Yaris,2016,regular unleaded,106,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,37,30,2031,16870
Dodge,Caliber,2010,regular unleaded,158,4,MANUAL,front wheel drive,4,Hatchback,Compact,Wagon,31,23,1851,16880
Toyota,Yaris,2015,regular unleaded,106,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,36,30,2031,16880
Nissan,Versa,2015,regular unleaded,109,4,AUTOMATIC,front wheel drive,4,Sub-Compact,Compact,Sedan,40,31,2009,16890
Nissan,Cube,2014,regular unleaded,122,4,MANUAL,front wheel drive,4,Hatchback,Compact,Wagon,30,25,2009,16900
Kia,Soul,2014,regular unleaded,130,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,Wagon,30,24,1720,16900
Toyota,Yaris,2017,regular unleaded,106,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,35,30,2031,16910
Toyota,Yaris,2016,regular unleaded,106,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,36,30,2031,16930
Mazda,3,2015,regular unleaded,155,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,41,29,586,16945
